Year,Code,Industry,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
2019,4441,Building mat. and supplies dealers,"27,797","26,586","26,950","27,224","27,096","26,919","27,186","27,591","27,210","27,138","27,089","27,585",,
2019,445,Food and beverage stores,"64,172","62,953","64,066","64,293","64,215","64,523","65,362","65,375","64,873","64,717","64,901","65,375",,
2019,4451,Grocery stores,"57,527","56,332","57,440","57,644","57,581","57,850","58,601","58,605","58,130","57,954","58,122","58,564",,
2019,4453,"Beer, wine and liquor stores","4,659","4,661","4,664","4,661","4,676","4,718","4,774","4,790","4,767","4,783","4,814","4,873",,
2019,446,Health and personal care stores,"28,556","28,761","28,667","28,559","28,811","28,656","28,513","28,516","28,514","28,863","28,671","28,411",,
2019,44611,Pharmacies and drug stores,"23,693","23,911","23,857","23,799","23,982","23,772","23,612","23,695","23,541","23,900","23,563","23,422",,
2019,447,Gasoline stations,"39,681","41,301","42,907","44,428","43,684","41,916","42,577","42,611","42,296","42,786","42,667","43,980",,
2019,448,Clothing and clothing access. stores,"22,050","22,128","22,430","22,353","22,168","22,150","22,519","22,470","22,248","22,297","22,250","23,168",,
2019,4481,Clothing stores,"16,112","16,053","16,353","16,267","16,193","16,190","16,348","16,293","16,099","16,289","16,234","16,978",,
2019,44811,Men's clothing stores,791,738,765,770,763,765,771,781,783,788,805,806,,
2019,44812,Women's clothing stores,"3,206","3,160","3,215","3,182","3,226","3,166","3,214","3,162","3,192","3,239","3,182","3,238",,
2019,4482,Shoe stores,"3,187","3,216","3,236","3,178","3,065","3,100","3,159","3,145","3,082","3,074","3,068","3,124",,
2019,44831,Jewelry stores,"2,543","2,651","2,625","2,689","2,681","2,616","2,787","2,797","2,829","2,718","2,706","2,802",,
2019,451,"Sporting goods, hobby, musical instrument, and book stores","6,453","6,515","6,550","6,673","6,701","6,749","6,611","6,674","6,657","6,717","6,538","6,699",,
2019,452,General merchandise stores,"59,462","58,801","59,671","59,543","59,306","59,455","60,242","59,896","59,400","59,692","60,350","60,269",,
2019,4521,Department stores,"11,408","11,447","11,379","11,359","11,361","11,194","11,496","11,323","10,960","10,910","11,117","10,921",,
2019,4529,Other general merchandise stores,"48,054","47,354","48,292","48,184","47,945","48,261","48,746","48,573","48,440","48,782","49,233","49,348",,
2019,45291,Warehouse clubs and superstores,"41,327","40,687","41,578","41,428","41,305","41,562","41,945","41,794","41,739","42,053","42,461","42,538",,
2019,45299,All other gen. merchandise stores,"6,727","6,667","6,714","6,756","6,640","6,699","6,801","6,779","6,701","6,729","6,772","6,810",,
2019,453,Miscellaneous stores retailers,"10,461","10,555","10,653","10,845","11,010","11,049","10,918","11,143","11,103","11,273","11,464","11,322",,
2019,454,Nonstore retailers,"58,887","59,209","59,382","59,814","61,629","63,218","63,559","64,000","64,594","64,738","64,802","64,701",,
2019,4541,Electronic shopping and mail order houses,"51,075","51,567","51,798","52,317","54,074","55,449","55,746","56,047","56,721","56,960","56,867","56,665",,
2019,45431,Fuel dealers,"2,892","2,926","3,056","2,925","2,863","2,879","2,918","2,924","2,842","2,804","3,032","2,840",,
2019,722,Food services and drinking places,"61,262","61,740","62,318","62,730","63,465","64,306","65,105","65,286","66,127","66,390","66,657","67,736",,
2018,441,Motor vehicle and parts dealers,"99,956","99,731","99,933","99,981","100,810","100,387","100,979","100,182","99,508","100,165","101,270","102,370",,
2018,"4411,4412",Automobile and other motor vehicle dealers,"92,182","91,907","92,132","92,165","92,877","92,464","92,972","92,251","91,469","92,159","93,313","94,450",,
2018,4413,"Automotive parts, acc., and tire stores","7,774","7,824","7,801","7,816","7,933","7,923","8,007","7,931","8,039","8,006","7,957","7,920",,
2018,"442,443","Furniture, home furn, electronics, and appliance stores","17,689","17,802","17,739","17,910","17,829","17,907","17,875","17,781","17,613","17,720","17,668","17,727",,
2018,442,Furniture and home furnishings stores,"9,835","9,855","9,865","9,999","9,907","9,939","9,999","9,869","9,857","9,895","9,929","10,078",,
2018,443,Electronics and appliance stores,"7,854","7,947","7,874","7,911","7,922","7,968","7,876","7,912","7,756","7,825","7,739","7,649",,
2018,444,Building mat. and garden equip. and supplies dealers,"28,907","29,951","29,589","29,802","30,646","31,118","31,261","30,904","31,099","31,610","30,937","30,912",,
2018,4441,Building mat. and supplies dealers,"25,467","26,296","25,958","26,372","27,028","27,445","27,536","26,992","27,104","27,415","26,954","26,989",,
2018,445,Food and beverage stores,"61,793","62,049","62,231","62,353","62,434","62,202","62,597","62,430","62,777","63,119","63,210","63,264",,
2018,4451,Grocery stores,"55,338","55,558","55,721","55,862","55,893","55,700","56,057","55,934","56,179","56,463","56,557","56,632",,
2018,4453,"Beer, wine and liquor stores","4,513","4,514","4,546","4,552","4,592","4,563","4,596","4,556","4,626","4,660","4,676","4,683",,
2018,446,Health and personal care stores,"27,674","27,544","27,711","28,006","28,416","28,151","28,348","28,562","28,344","28,537","29,076","27,778",,
2018,44611,Pharmacies and drug stores,"23,060","22,804","22,943","23,141","23,478","23,168","23,438","23,681","23,485","23,630","24,013","23,034",,
2018,447,Gasoline stations,"42,820","43,188","42,865","42,946","43,787","43,465","43,729","44,366","43,825","45,511","43,224","40,696",,
2018,448,Clothing and clothing access. stores,"21,811","22,362","21,663","22,070","22,779","22,206","22,562","22,106","21,963","22,426","22,492","22,169",,
2018,4481,Clothing stores,"15,949","16,383","15,815","16,025","16,699","16,148","16,396","16,217","16,152","16,370","16,432","16,190",,
2018,44811,Men's clothing stores,756,772,767,797,781,782,769,773,769,769,781,758,,
2018,44812,Women's clothing stores,"3,218","3,286","3,175","3,305","3,455","3,315","3,305","3,351","3,348","3,435","3,505","3,231",,
2018,4482,Shoe stores,"3,001","3,069","2,933","3,090","3,137","3,098","3,247","3,012","3,064","3,191","3,204","3,165",,
2018,44831,Jewelry stores,"2,640","2,690","2,696","2,737","2,735","2,753","2,719","2,683","2,557","2,677","2,660","2,617",,
2018,451,"Sporting goods, hobby, musical instrument, and book stores","6,788","7,106","7,162","7,063","7,052","6,836","6,554","6,491","6,401","6,392","6,488","6,342",,
2018,452,General merchandise stores,"58,455","58,745","58,076","58,026","59,500","58,555","58,922","59,001","58,933","59,325","59,995","59,549",,
2018,4521,Department stores,"12,105","12,111","11,444","12,198","12,326","11,806","11,866","11,762","11,638","11,712","11,832","11,457",,
2018,4529,Other general merchandise stores,"46,350","46,634","46,632","45,828","47,174","46,749","47,056","47,239","47,295","47,613","48,163","48,092",,
2018,45291,Warehouse clubs and superstores,"39,915","40,186","40,259","39,475","40,684","40,337","40,581","40,689","40,669","40,953","41,229","41,336",,
2018,45299,All other gen. merchandise stores,"6,435","6,448","6,373","6,353","6,490","6,412","6,475","6,550","6,626","6,660","6,934","6,756",,
2018,453,Miscellaneous stores retailers,"10,903","10,824","10,646","10,718","10,838","10,786","10,421","10,601","10,631","10,862","10,847","10,687",,
2018,454,Nonstore retailers,"54,249","54,452","55,276","55,957","55,690","55,917","56,863","57,015","57,615","57,893","60,277","53,791",,
2018,4541,Electronic shopping and mail order houses,"46,275","47,043","47,778","48,019","48,011","48,497","49,269","49,488","50,103","50,179","52,485","46,077",,
2018,45431,Fuel dealers,"3,580","2,770","2,775","3,196","2,960","2,913","3,050","3,028","3,013","3,154","3,023","2,881",,
2018,722,Food services and drinking places,"59,402","59,668","60,232","59,471","60,804","61,459","62,330","62,637","61,286","61,778","61,589","61,398",,
